task_id,task_type,task_complexity,task_priority,estimated_effort_hours,team_experience_level,total_members,past_projects_completed,team_skillset_match,team_availability,assigned_team
3b10d9f6,Feature Development,3,1,34.18,3,10,9,54.35,33.89,T5
29c1a1bf,Testing,2,2,36.58,1,15,14,81.86,50.66,T9
da28debd,Bug Fixing,1,3,18.53,2,5,16,69.96,69.71,T7
8ec31302,Code Review,3,1,15.89,2,15,15,90.35,82.34,T9
41de5700,Feature Development,2,2,23.34,2,10,9,68.29,75.52,T5
529b7961,Testing,3,1,45.0,1,19,7,89.93,36.12,T1
762aca73,Feature Development,2,3,18.35,1,7,16,99.47,44.65,T4
c9b3ec4e,Testing,2,1,19.53,1,7,16,58.46,41.0,T4
31add281,Feature Development,1,3,27.07,1,13,9,68.87,35.26,T8
f05bec5a,Feature Development,3,2,17.44,1,9,9,70.85,99.05,T2
1d31f7e2,Feature Development,3,1,19.79,1,13,9,79.43,91.77,T8
2db8b47c,Code Review,3,3,49.6,2,5,16,56.93,39.8,T7
8e46c546,Feature Development,3,2,12.51,2,10,9,85.09,62.7,T5
2dace4ac,Code Review,2,3,33.33,1,11,12,51.04,63.76,T3
7f85ef9f,Testing,2,1,31.9,1,11,14,65.86,76.68,T3
54577139,Code Review,2,3,40.25,2,6,12,89.65,55.06,T6
238e7f06,Code Review,3,2,25.92,1,6,12,86.69,56.0,T6
71259f8a,Bug Fixing,1,3,16.08,3,5,16,77.22,56.41,T7
1df2ea64,Testing,2,3,35.25,2,15,15,73.81,99.69,T9
8e46c546,Feature Development,3,2,12.51,2,10,9,85.09,62.7,T5
e3bac0c6,Feature Development,2,1,47.14,2,15,15,98.41,48.15,T9
422af973,Testing,1,3,38.07,1,5,16,90.16,68.87,T7
117965e2,Bug Fixing,3,1,34.92,3,8,15,54.07,66.2,T10
a9db64e2,Feature Development,2,3,7.39,3,6,12,55.81,50.85,T6
54577139,Code Review,2,3,40.25,2,6,13,89.65,55.06,T6
f05bec5a,Feature Development,3,2,17.44,1,9,9,70.85,99.05,T2
79d6b7cb,Bug Fixing,1,1,15.4,1,8,15,67.83,34.56,T10
69fee229,Code Review,2,2,30.96,2,10,9,73.91,50.57,T5
238e7f06,Code Review,3,2,25.92,1,6,13,86.69,56.0,T6
269f4f09,Bug Fixing,3,2,15.28,3,10,11,62.34,75.34,T5
f4bbec1e,Code Review,1,3,24.78,2,6,13,95.3,40.0,T6
4c0218a9,Testing,1,2,26.59,1,5,16,75.98,63.37,T7
422af973,Testing,1,3,38.07,1,5,16,90.16,68.87,T7
231a7210,Bug Fixing,2,3,24.0,1,5,16,85.25,33.07,T7
7dbfd805,Code Review,1,2,21.22,3,7,16,65.75,59.86,T4
29c1a1bf,Testing,2,2,36.58,1,15,15,81.86,50.66,T9
499ebf09,Bug Fixing,1,3,6.74,2,5,16,64.1,92.42,T7
a05d960f,Bug Fixing,1,3,40.65,2,8,15,79.2,98.98,T10
f2fff536,Testing,3,3,40.28,3,6,13,68.5,66.98,T6
8ec31302,Code Review,3,1,15.89,2,15,15,90.35,82.34,T9
94079ee6,Bug Fixing,1,2,18.29,2,7,16,61.53,96.75,T4
9fa0b034,Code Review,1,1,5.53,2,19,9,57.9,41.14,T1
6a75471b,Feature Development,2,3,15.62,1,19,9,80.71,33.66,T1
ce8d88cd,Code Review,3,3,19.6,2,7,16,55.59,49.9,T4
7f85ef9f,Testing,2,1,31.9,1,11,14,65.86,76.68,T3
f05741b3,Bug Fixing,3,1,8.11,2,5,16,65.73,32.11,T7
ba7cb25d,Code Review,3,3,36.11,2,13,9,53.61,58.78,T8
e96cd7a7,Testing,1,3,30.07,3,8,15,62.67,84.21,T10
f05bec5a,Feature Development,3,2,17.44,1,9,9,70.85,99.05,T2
a9db64e2,Feature Development,2,3,7.39,3,6,13,55.81,50.85,T6
905f7846,Feature Development,2,3,23.08,3,5,16,55.45,30.93,T7
e4a52c9f,Testing,3,3,20.52,1,9,10,80.77,56.55,T2
04c4f699,Testing,3,2,25.49,3,11,14,92.47,57.44,T3
529b7961,Testing,3,1,45.0,1,19,9,89.93,36.12,T1
816d8b65,Bug Fixing,1,3,29.18,2,15,16,98.5,64.27,T9
2e7cfac2,Bug Fixing,3,1,21.25,1,9,10,97.12,67.18,T2
5c827c5a,Bug Fixing,1,1,48.78,1,11,14,57.3,92.34,T3
54577139,Code Review,2,3,40.25,2,6,14,89.65,55.06,T6
aa52fa37,Testing,2,3,27.36,1,7,16,79.9,66.1,T4
174f518c,Feature Development,2,1,8.67,3,8,15,93.44,39.1,T10
41861c1c,Bug Fixing,1,1,9.08,2,10,11,52.75,85.94,T5
1d31f7e2,Feature Development,3,1,19.79,1,13,10,79.43,91.77,T8
5f862b9b,Bug Fixing,1,3,30.08,1,5,16,55.79,37.45,T7
54577139,Code Review,2,3,40.25,2,6,14,89.65,55.06,T6
87d513d7,Bug Fixing,1,2,13.2,2,5,16,85.38,76.15,T7
aa52fa37,Testing,2,3,27.36,1,7,16,79.9,66.1,T4
238e7f06,Code Review,3,2,25.92,1,6,14,86.69,56.0,T6
da28debd,Bug Fixing,1,3,18.53,2,5,16,69.96,69.71,T7
31add281,Feature Development,1,3,27.07,1,13,10,68.87,35.26,T8
69fee229,Code Review,2,2,30.96,2,10,11,73.91,50.57,T5
41861c1c,Bug Fixing,1,1,9.08,2,10,11,52.75,85.94,T5
5c827c5a,Bug Fixing,1,1,48.78,1,11,14,57.3,92.34,T3
f5dac161,Feature Development,3,1,22.11,3,8,16,60.84,34.07,T10
316b3410,Testing,3,1,8.42,2,19,9,76.45,87.88,T1
f05bec5a,Feature Development,3,2,17.44,1,9,10,70.85,99.05,T2
da534629,Feature Development,2,3,10.5,3,10,11,54.61,66.56,T5
71259f8a,Bug Fixing,1,3,16.08,3,5,16,77.22,56.41,T7
3c0b5551,Feature Development,1,3,13.03,3,8,16,76.73,65.73,T10
31add281,Feature Development,1,3,27.07,1,13,10,68.87,35.26,T8
441c1cab,Code Review,3,1,9.26,1,19,9,56.43,55.6,T1
f55d1623,Bug Fixing,2,1,35.94,3,13,10,61.67,49.25,T8
d5b968ef,Bug Fixing,2,2,7.84,3,8,16,54.38,70.65,T10
422af973,Testing,1,3,38.07,1,5,16,90.16,68.87,T7
3b10d9f6,Feature Development,3,1,34.18,3,10,13,54.35,33.89,T5
e26c2e75,Bug Fixing,2,2,21.45,3,6,14,94.33,40.03,T6
c800e27c,Bug Fixing,3,3,38.21,1,6,14,51.52,88.12,T6
441c1cab,Code Review,3,1,9.26,1,19,10,56.43,55.6,T1
879c9019,Code Review,1,2,20.96,3,15,16,77.4,60.8,T9
29c1a1bf,Testing,2,2,36.58,1,15,16,81.86,50.66,T9
78fe65b1,Bug Fixing,2,2,43.85,3,5,16,93.35,91.75,T7
c55c28f8,Testing,3,2,46.1,1,5,16,84.04,54.99,T7
ff7ebad8,Code Review,1,1,23.02,3,6,16,93.41,44.0,T6
a66359a4,Feature Development,2,2,48.29,2,8,16,92.32,61.25,T10
e3d5cda0,Testing,3,2,29.56,3,11,16,93.8,41.26,T3
da534629,Feature Development,2,3,10.5,3,10,13,54.61,66.56,T5
e3d5cda0,Testing,3,2,29.56,3,11,16,93.8,41.26,T3
117965e2,Bug Fixing,3,1,34.92,3,8,16,54.07,66.2,T10
9e0c7958,Testing,3,3,20.64,1,15,16,65.51,80.73,T9
407fde5c,Testing,2,2,13.01,3,5,16,54.98,84.06,T7
04c4f699,Testing,3,2,25.49,3,11,16,92.47,57.44,T3
7084df3a,Code Review,1,1,45.98,2,11,16,58.9,49.72,T3
e37840d8,Testing,1,2,37.97,2,15,16,50.91,87.77,T9
46790a3b,Feature Development,1,3,39.83,2,5,16,88.78,84.15,T7
74ad27d6,Bug Fixing,3,1,47.82,2,10,13,88.16,75.31,T5
d2cfabed,Feature Development,3,3,29.95,3,15,16,65.76,56.85,T9
e26c2e75,Bug Fixing,2,2,21.45,3,6,16,94.33,40.03,T6
b70c3bec,Code Review,1,3,27.48,1,7,16,88.31,92.03,T4
3abad251,Feature Development,1,3,48.97,3,9,10,76.65,92.06,T2
c93556a7,Testing,1,2,40.28,3,19,10,54.52,81.91,T1
a66359a4,Feature Development,2,2,48.29,2,8,16,92.32,61.25,T10
7654e1f7,Feature Development,2,3,13.91,3,19,10,82.62,81.92,T1
e3bac0c6,Feature Development,2,1,47.14,2,15,16,98.41,48.15,T9
4ef33e77,Code Review,2,2,38.5,2,13,10,69.23,97.18,T8
1fc574d1,Bug Fixing,1,3,21.9,3,19,10,92.3,52.32,T1
117965e2,Bug Fixing,3,1,34.92,3,8,16,54.07,66.2,T10
106c6954,Bug Fixing,2,2,42.03,1,9,10,73.36,84.8,T2
e5242090,Code Review,2,1,40.18,1,13,12,99.98,83.47,T8
46790a3b,Feature Development,1,3,39.83,2,5,16,88.78,84.15,T7
2dace4ac,Code Review,2,3,33.33,1,11,16,51.04,63.76,T3
f2f705d6,Testing,2,2,27.42,2,7,16,50.44,85.19,T4
79d6b7cb,Bug Fixing,1,1,15.4,1,8,16,67.83,34.56,T10
2c84c6d9,Bug Fixing,1,1,27.0,1,8,16,90.19,69.57,T10
600ccdb3,Feature Development,2,3,14.6,2,9,11,57.36,72.8,T2
bc8e2087,Feature Development,2,3,35.76,1,8,16,69.52,42.06,T10
cfece966,Testing,3,3,23.83,2,7,16,58.92,43.45,T4
ff3a6fd5,Code Review,2,3,17.38,2,7,16,57.08,46.76,T4
269f4f09,Bug Fixing,3,2,15.28,3,10,13,62.34,75.34,T5
ff3a6fd5,Code Review,2,3,17.38,2,7,16,57.08,46.76,T4
269f4f09,Bug Fixing,3,2,15.28,3,10,13,62.34,75.34,T5
